case,task,system,status,original,score_50,score_60,score_70
C1-codex-R06,C1,codex,SCORED,0.987998926078396277071773760515482369787005,0.982855608683423252959676800736403385410007142857,0.986284486946738602367741440589122708328005714286,0.989713365210053951775806080441842031246004285714
C1-codex-R07,C1,codex,SCORED,0.915160193305888670127080723107213173438335,0.878800276151269528752972461581733104911907142857,0.903040220921015623002377969265386483929525714286,0.927280165690761717251783476949039862947144285714
C1-codex-R08,C1,codex,SCORED,0.91747857128651830638585605473022691565737,0.904090266673048130001772385878346143246796703297,0.913015803082028247591161498446266658187178901099,0.921941339491008365180550611014187173127561098901
C2-claude-R01,C2,claude,JUDGE_ERROR,,,,
C2-claude-R02,C2,claude,SCORED,0.66032895675752818609961467103,0.637842316413744985173556602114141414141414141414,0.592869035726178583321440464282424242424242424242,0.547895755038612181469324326450707070707070707071
C2-claude-R03,C2,claude,JUDGE_ERROR,,,,
C2-claude-R05,C2,claude,JUDGE_ERROR,,,,
C2-claude-R06,C2,claude,SCORED,0.59193470220255934541648827361,0.569626306233449090591947734783838383838383838384,0.525009514295228580942866657131515151515151515152,0.480392722357008071293785579479191919191919191919
C2-claude-R08,C2,claude,SCORED,0.648076923076923076923076923075,0.608974358974358974358974358972222222222222222222,0.530769230769230769230769230766666666666666666667,0.452564102564102564102564102561111111111111111111
C2-codex-R01,C2,codex,SCORED,1,1,1,1
C2-codex-R03,C2,codex,SCORED,0.998076923076923076923076923075,0.997863247863247863247863247861111111111111111111,0.997435897435897435897435897433333333333333333333,0.997008547008547008547008547005555555555555555556
C2-codex-R04,C2,codex,SCORED,1,1,1,1
C2-codex-R05,C2,codex,SCORED,1,1,1,1
C2-codex-R06,C2,codex,SCORED,0.794805194805194805194805194785,0.774891774891774891774891774870202020202020202020,0.735064935064935064935064935040606060606060606061,0.695238095238095238095238095211010101010101010101
C2-qwen-R05,C2,qwen,SCORED,0.53269230769230769230769230769,0.500971250971250971250971250968686868686868686869,0.437529137529137529137529137526060606060606060606,0.374087024087024087024087024083434343434343434343
C2-qwen-R06,C2,qwen,SCORED,0.540384615384615384615384615385,0.509518259518259518259518259518686868686868686869,0.447785547785547785547785547786060606060606060606,0.386052836052836052836052836053434343434343434343
